Zeit;Temperatur;h;F;SF;KW;Qst_unkorr;Qst / kWh;Qst_nutz / kWh
2012-01-01 01:00:00;2.4;1.69588892725;1.0;0.0236;194.770452141;7.79529365414;7.81586385923;6.64348428035
2012-01-01 02:00:00;1.3;1.69588892725;1.0;0.0251;194.770452141;8.29075723385;8.31263486723;7.06573963715
2012-01-01 03:00:00;0.4;1.69588892725;1.0;0.0254;194.770452141;8.38984994979;8.41198906883;7.15019070851
2012-01-01 04:00:00;0.3;1.69588892725;1.0;0.0274;194.770452141;9.05046805608;9.07435041283;7.71319785091
2012-01-01 05:00:00;0.3;1.69588892725;1.0;0.0340;194.770452141;11.2305078068;11.260142848;9.57112142084
2012-01-01 06:00:00;0.5;1.69588892725;1.0;0.0507;194.770452141;16.7466689943;16.7908600705;14.2722310599
2012-01-01 07:00:00;0.4;1.69588892725;1.0;0.0502;194.770452141;16.5815144677;16.6252697345;14.1314792743
2012-01-01 08:00:00;0.4;1.69588892725;1.0;0.0489;194.770452141;16.1521126986;16.1947348609;13.7655246317
2012-01-01 09:00:00;0.3;1.69588892725;1.0;0.0484;194.770452141;15.986958172;16.0291445249;13.6247728461
2012-01-01 10:00:00;0.4;1.69588892725;1.0;0.0474;194.770452141;15.6566491189;15.6979638529;13.3432692749
2012-01-01 11:00:00;0.6;1.69588892725;1.0;0.0461;194.770452141;15.2272473498;15.2674289793;12.9773146324
2012-01-01 12:00:00;1.1;1.69588892725;1.0;0.0446;194.770452141;14.7317837701;14.7706579713;12.5550592756
2012-01-01 13:00:00;1.5;1.69588892725;1.0;0.0442;194.770452141;14.5996601489;14.6381857025;12.4424578471
2012-01-01 14:00:00;2.0;1.69588892725;1.0;0.0441;194.770452141;14.5666292435;14.6050676353;12.41430749
2012-01-01 15:00:00;1.5;1.69588892725;1.0;0.0443;194.770452141;14.6326910542;14.6713037697;12.4706082042
2012-01-01 16:00:00;1.4;1.69588892725;1.0;0.0447;194.770452141;14.7648146754;14.8037760385;12.5832096327
2012-01-01 17:00:00;1.2;1.69588892725;1.0;0.0466;194.770452141;15.3924018764;15.4330193153;13.118066418
2012-01-01 18:00:00;1.1;1.69588892725;1.0;0.0482;194.770452141;15.9208963614;15.9629083905;13.5684721319
2012-01-01 19:00:00;1.1;1.69588892725;1.0;0.0492;194.770452141;16.2512054146;16.2940890625;13.8499757031
2012-01-01 20:00:00;1.0;1.69588892725;1.0;0.0491;194.770452141;16.2181745092;16.2609709953;13.821825346
2012-01-01 21:00:00;0.9;1.69588892725;1.0;0.0480;194.770452141;15.8548345508;15.8966722561;13.5121714177
2012-01-01 22:00:00;0.8;1.69588892725;1.0;0.0439;194.770452141;14.5005674329;14.5388315009;12.3580067757
2012-01-01 23:00:00;0.8;1.69588892725;1.0;0.0380;194.770452141;12.5517440194;12.584865536;10.6971357056
2012-01-02 00:00:00;0.8;1.69588892725;1.0;0.0279;194.770452141;9.21562258265;9.23994074884;7.85394963651
2012-01-02 01:00:00;0.7;1.7772006588;1.0;0.0236;194.770452141;8.16904975029;8.19060622221;6.96201528888
2012-01-02 02:00:00;0.5;1.7772006588;1.0;0.0251;194.770452141;8.68826901408;8.71119560074;7.40451626063
2012-01-02 03:00:00;0.4;1.7772006588;1.0;0.0254;194.770452141;8.79211286684;8.81531347644;7.49301645498
2012-01-02 04:00:00;0.3;1.7772006588;1.0;0.0274;194.770452141;9.48440521856;9.50943264782;8.08301775064
2012-01-02 05:00:00;0.0;1.7772006588;1.0;0.0352;194.770452141;12.1843453903;12.2164974162;10.3840228037
2012-01-02 06:00:00;-0.1;1.7772006588;1.0;0.0509;194.770452141;17.6188403513;17.6653329115;15.0155329747
2012-01-02 07:00:00;-0.1;1.7772006588;1.0;0.0504;194.770452141;17.4457672633;17.4918031186;14.8680326508
2012-01-02 08:00:00;-0.3;1.7772006588;1.0;0.0476;194.770452141;16.4765579709;16.5200362787;14.0420308369
2012-01-02 09:00:00;-0.4;1.7772006588;1.0;0.0486;194.770452141;16.8227041468;16.8670958644;14.3370314847
2012-01-02 10:00:00;-0.5;1.7772006588;1.0;0.0478;194.770452141;16.5457872061;16.5894481958;14.1010309665
2012-01-02 11:00:00;-0.5;1.7772006588;1.0;0.0464;194.770452141;16.0611825599;16.1035647759;13.6880300595
2012-01-02 12:00:00;-0.3;1.7772006588;1.0;0.0452;194.770452141;15.6458071489;15.687093273;13.3340292821
2012-01-02 13:00:00;-0.3;1.7772006588;1.0;0.0448;194.770452141;15.5073486785;15.5482694388;13.216029023
